Test Type,Transaction ID,Patient ID,Operation,Start Time,End Time,Duration (seconds),Status
FULL_CYCLE,77,CLOUD_FC_20260219_183630_P000077,CONSENT,1771526208.930209583,1771526208.931639231,.105927219,SUCCESS
FULL_CYCLE,78,CLOUD_FC_20260219_183630_P000078,CREATE,1771526209.057786141,1771526209.059325393,.117670920,SUCCESS
FULL_CYCLE,78,CLOUD_FC_20260219_183630_P000078,CONSENT,1771526209.183915350,1771526209.185320998,.117010697,SUCCESS
FULL_CYCLE,79,CLOUD_FC_20260219_183630_P000079,CREATE,1771526209.307707578,1771526209.309013723,.114127199,SUCCESS
FULL_CYCLE,79,CLOUD_FC_20260219_183630_P000079,CONSENT,1771526209.422176289,1771526209.423656739,.105469903,SUCCESS
FULL_CYCLE,80,CLOUD_FC_20260219_183630_P000080,CREATE,1771526209.544432365,1771526209.545896115,.112609347,SUCCESS
FULL_CYCLE,80,CLOUD_FC_20260219_183630_P000080,CONSENT,1771526209.660546332,1771526209.662086985,.106768548,SUCCESS
FULL_CYCLE,81,CLOUD_FC_20260219_183630_P000081,CREATE,1771526209.809745829,1771526209.811113376,.139542567,SUCCESS
FULL_CYCLE,81,CLOUD_FC_20260219_183630_P000081,CONSENT,1771526209.924070834,1771526209.925658689,.105670610,SUCCESS
FULL_CYCLE,82,CLOUD_FC_20260219_183630_P000082,CREATE,1771526210.041048731,1771526210.042415277,.107592476,SUCCESS
FULL_CYCLE,82,CLOUD_FC_20260219_183630_P000082,CONSENT,1771526210.155752849,1771526210.157114796,.106049423,SUCCESS
FULL_CYCLE,83,CLOUD_FC_20260219_183630_P000083,CREATE,1771526210.274810216,1771526210.276213864,.109323035,SUCCESS
FULL_CYCLE,83,CLOUD_FC_20260219_183630_P000083,CONSENT,1771526210.387633881,1771526210.389093332,.104207166,SUCCESS
FULL_CYCLE,84,CLOUD_FC_20260219_183630_P000084,CREATE,1771526210.509860568,1771526210.511223516,.112408443,SUCCESS
FULL_CYCLE,84,CLOUD_FC_20260219_183630_P000084,CONSENT,1771526210.622656342,1771526210.624044285,.104362095,SUCCESS
FULL_CYCLE,85,CLOUD_FC_20260219_183630_P000085,CREATE,1771526210.741429334,1771526210.742872279,.109177994,SUCCESS
FULL_CYCLE,85,CLOUD_FC_20260219_183630_P000085,CONSENT,1771526210.857031528,1771526210.858336369,.107627946,SUCCESS
FULL_CYCLE,86,CLOUD_FC_20260219_183630_P000086,CREATE,1771526210.991428006,1771526210.992922253,.124706977,SUCCESS
FULL_CYCLE,86,CLOUD_FC_20260219_183630_P000086,CONSENT,1771526211.112253763,1771526211.113797311,.111878978,SUCCESS
FULL_CYCLE,87,CLOUD_FC_20260219_183630_P000087,CREATE,1771526211.232113389,1771526211.233557734,.109782313,SUCCESS
FULL_CYCLE,87,CLOUD_FC_20260219_183630_P000087,CONSENT,1771526211.348525508,1771526211.349913451,.107622846,SUCCESS
FULL_CYCLE,88,CLOUD_FC_20260219_183630_P000088,CREATE,1771526211.469624773,1771526211.471053117,.111478366,SUCCESS
FULL_CYCLE,88,CLOUD_FC_20260219_183630_P000088,CONSENT,1771526211.583189404,1771526211.584628948,.105080066,SUCCESS
